IId sex Anho Population d_fibra p_vellongras peso_vivo
Merino35071 M 2020 Ayaviri 12.69 0 0
Merino35072 F 2020 Ayaviri 13.29 1.49 43.41
Merino35073 M 2020 Ayaviri 11.17 0 43.62
Merino35074 F 2020 Ayaviri 11.51 3.89 44.89
Merino35075 M 2020 Ayaviri 11.56 0.25 0
Merino35076 F 2020 Ayaviri 10.88 4.06 0
Merino35077 M 2020 Ayaviri 13.22 4.21 45.79
Merino35078 F 2020 Ayaviri 12.19 1.21 43.92
Merino35079 M 2020 Ayaviri 11.84 3.85 44.99
Merino35080 F 2020 Ayaviri 13.77 4.17 44.45
Merino35081 M 2020 Ayaviri 13.95 1.49 45.21
Merino35082 F 2020 Ayaviri 13.28 0 44.99
Merino35083 M 2020 Ayaviri 12.52 2.33 0
Merino35084 F 2020 Ayaviri 13.94 2.74 45.47
Merino35085 M 2020 Ayaviri 11.36 1.73 44.4
Merino35086 F 2020 Ayaviri 12.8 2.77 44.93
Merino35087 M 2020 Ayaviri 13.61 3.79 42.68
Merino35088 F 2020 Ayaviri 11.6 2.4 45.47
Merino35089 M 2020 Ayaviri 12.79 1.58 42.96
Merino35090 F 2020 Ayaviri 12.35 0 43.55
Merino35091 M 2020 Ayaviri 13.24 1.27 43.15
Merino35092 F 2020 Ayaviri 0 1.65 43.93
Merino35093 M 2020 Ayaviri 11.82 4.18 0
Merino35094 F 2020 Ayaviri 11.64 2.43 43.25
Merino35095 M 2020 Ayaviri 12.55 0.55 45.81
Merino35096 F 2020 Ayaviri 13.47 1.47 45.12
Merino35097 M 2020 Ayaviri 12.38 0.15 42.77
Merino35098 F 2020 Ayaviri 13.13 1.52 0
Merino35099 M 2020 Ayaviri 10.47 1.52 43.76
Merino35100 F 2020 Ayaviri 9.82 2.09 43.18
Merino35101 M 2020 Ayaviri 12.79 0.78 0
Merino35102 F 2020 Ayaviri 13.66 0 43.57
Merino35103 M 2020 Ayaviri 11.69 4.87 44.99
Merino35104 F 2020 Ayaviri 11.8 0.99 44.78
Merino35105 M 2020 Ayaviri 12.53 1.95 45.73
Merino35106 F 2020 Ayaviri 13.8 0 44.16
Merino35107 M 2020 Ayaviri 13.06 0.63 45.11
Merino35108 F 2020 Ayaviri 12.26 0 0
Merino35109 M 2020 Ayaviri 12.82 3.58 43.76
Merino35110 F 2020 Ayaviri 14.11 3.64 43.08
Merino35111 M 2020 Ayaviri 12.85 0 44.79
Merino35112 F 2020 Ayaviri 13.79 0 0
Merino35113 M 2020 Ayaviri 11.92 1.61 44.67
Merino35114 F 2020 Ayaviri 13.71 3.06 43.62
Merino35115 M 2020 Ayaviri 13.29 0 43.76
Merino35116 F 2020 Ayaviri 0 2.87 43.99
Merino35117 M 2020 Ayaviri 11.27 2.63 44.6
Merino35118 F 2020 Ayaviri 12.06 4.49 45.8
Merino35119 M 2020 Ayaviri 11.91 2.5 0
Merino35120 F 2020 Ayaviri 0 0.23 44.95
Merino35121 M 2020 Ayaviri 11.53 0.71 45
Merino35122 F 2020 Ayaviri 10.94 2.22 43.62
Merino35123 M 2020 Ayaviri 12.65 0.56 43.28
Merino35124 F 2020 Ayaviri 11.22 0 43.14
Merino35125 M 2020 Ayaviri 12.54 3.21 46.64
Merino35126 F 2020 Ayaviri 11.76 0 0
Merino35127 M 2020 Ayaviri 12.48 5.85 0
Merino35128 F 2020 Ayaviri 13.68 0 44.07
Merino35129 M 2020 Ayaviri 13.53 2.67 45.21
Merino35130 F 2020 Ayaviri 12 3.87 45.15
Merino35131 M 2020 Ayaviri 12.4 2.05 41.74
Merino35132 F 2020 Ayaviri 12.71 2.91 0
Merino35133 M 2020 Ayaviri 13.43 1.81 0
Merino35134 F 2020 Ayaviri 13.45 2.76 0
Merino35135 M 2020 Ayaviri 11.65 0 44.58
Merino35136 F 2020 Ayaviri 12.55 1.04 0
Merino35137 M 2020 Ayaviri 12.35 2.85 43.64
Merino35138 F 2020 Ayaviri 10.69 3.2 42.7
Merino35139 M 2020 Ayaviri 11.74 1.26 45.92
Merino35140 F 2020 Ayaviri 11.15 0 0
Merino35141 M 2020 Ayaviri 12.79 0.46 44.93
Merino35142 F 2020 Ayaviri 11.75 3.87 44.62
Merino35143 M 2020 Ayaviri 12.26 3.01 0
Merino35144 F 2020 Ayaviri 12.16 3.56 44.05
Merino35145 M 2020 Ayaviri 12.46 1.26 42.83
Merino35146 F 2020 Ayaviri 12.29 1.35 44.33
Merino35147 M 2020 Ayaviri 12.24 2.16 44.08
Merino35148 F 2020 Ayaviri 13.51 0.61 43.53
Merino35149 M 2020 Ayaviri 12.1 0.16 43.86
Merino35150 F 2020 Ayaviri 12.26 2.43 43.52
Merino35151 M 2020 Ayaviri 14.04 2.97 43.65
Merino35152 F 2020 Ayaviri 0 3.76 44.9
Merino35153 M 2020 Ayaviri 13.72 3.07 45.61
Merino35154 F 2020 Ayaviri 11.74 2.39 45.02
Merino35155 M 2020 Ayaviri 11.31 0.4 43.28
Merino35156 F 2020 Ayaviri 13.4 2.76 44
Merino35157 M 2020 Ayaviri 12.7 0 45.45
Merino35158 F 2020 Ayaviri 12.7 3.35 45.45
Merino35159 M 2020 Ayaviri 0 0.8 45.88
Merino35160 F 2020 Ayaviri 12.06 3.64 0
Merino35161 M 2020 Ayaviri 11.88 0.17 45.36
Merino35162 F 2020 Ayaviri 11.59 0.93 0
Merino35163 M 2020 Ayaviri 11.65 1.88 45.57
Merino35164 F 2020 Ayaviri 12.64 0 43.88
Merino35165 M 2020 Ayaviri 12.76 3.49 45.56
Merino35166 F 2020 Ayaviri 14.25 4.59 44.64
Merino35167 M 2020 Ayaviri 13.84 1.79 43.47
Merino35168 F 2020 Ayaviri 11.95 3.28 0
Merino35169 M 2020 Ayaviri 12.93 1.13 43.01
Merino35170 F 2020 Ayaviri 12.59 2.49 42.93
Merino35171 M 2020 Ayaviri 12.29 0 45.45
Merino35172 F 2020 Ayaviri 0 3.53 46.68
Merino35173 M 2020 Ayaviri 11.81 2.99 44.37
Merino35174 F 2020 Ayaviri 14.19 3.21 44.24
Merino35175 M 2020 Ayaviri 13.65 0.25 43.93
Merino35176 F 2020 Ayaviri 12.51 0 43.01
Merino35177 M 2020 Ayaviri 12.5 0.15 43.88
Merino35178 F 2020 Ayaviri 11.98 0 43.01
Merino35179 M 2020 Ayaviri 10.56 0 44.28
Merino35180 F 2020 Ayaviri 11.6 0 44.43
Merino35181 M 2020 Ayaviri 14.02 0 45.18
Merino35182 F 2020 Ayaviri 12.83 2.21 46.03
Merino35183 M 2020 Ayaviri 12.77 2.46 0
Merino35184 F 2020 Ayaviri 12.21 5.26 44.41
Merino35185 M 2020 Ayaviri 12.01 1.06 42.93
Merino35186 F 2020 Ayaviri 13.03 0 42.74
Merino35187 M 2020 Ayaviri 11.28 1.34 43.84
Merino35188 F 2020 Ayaviri 12.56 0 44.06
Merino35189 M 2020 Ayaviri 13.36 0 44.54
Merino35190 F 2020 Ayaviri 11.54 0 0
Merino35191 M 2020 Ayaviri 12.77 4.76 45.39
Merino35192 F 2020 Ayaviri 12.01 4.47 46.45
Merino35193 M 2020 Ayaviri 12.45 3.91 45.84
Merino35194 F 2020 Ayaviri 13.46 2.62 44.2
Merino35195 M 2020 Ayaviri 10.88 1.83 43.95
Merino35196 F 2020 Ayaviri 11.95 1.13 43.49
Merino35197 M 2020 Ayaviri 10.78 2.27 44.64
Merino35198 F 2020 Ayaviri 10.33 4.27 44.71
Merino35199 M 2020 Ayaviri 13.79 0 45.96
Merino35200 F 2020 Ayaviri 13.69 0.12 44.15
Merino35201 M 2020 Ayaviri 13.11 2.53 42.32
Merino35202 F 2020 Ayaviri 12.64 1.09 0
Merino35203 M 2020 Ayaviri 12.44 0 45.11
Merino35204 F 2020 Ayaviri 13.66 0 45.34
Merino35205 M 2020 Ayaviri 10.3 0 45.97
Merino35206 F 2020 Ayaviri 0 0 44.56
Merino35207 M 2020 Ayaviri 12.38 0 43.35
Merino35208 F 2020 Ayaviri 0 0 43.18
Merino35209 M 2020 Ayaviri 14.19 2.78 44.64
Merino35210 F 2020 Ayaviri 12.97 0.6 44.83
Merino35211 M 2020 Ayaviri 14.78 4.14 43.73
Merino35212 F 2020 Ayaviri 13.11 1.59 45.53
Merino35213 M 2020 Ayaviri 10.86 0 44.82
Merino35214 F 2020 Ayaviri 13.5 1.65 43.88
Merino35215 M 2020 Ayaviri 13.3 0 0
Merino35216 F 2020 Ayaviri 12.91 1.06 44.66
Merino35217 M 2020 Ayaviri 12.14 0.0500000000000003 43.47
Merino35218 F 2020 Ayaviri 13.89 2.85 42.79
Merino35219 M 2020 Ayaviri 13.55 0.26 43.38
Merino35220 F 2020 Ayaviri 13.08 2.05 44
Merino35221 M 2020 Ayaviri 12.93 2.22 0
Merino35222 F 2020 Ayaviri 12.26 2.16 43.61
Merino35223 M 2020 Ayaviri 11.51 0 43.43
Merino35224 F 2020 Ayaviri 12.67 0.91 0
Merino35225 M 2020 Ayaviri 11.17 4.78 44.08
Merino35226 F 2020 Ayaviri 12.84 0 42.96
Merino35227 M 2020 Ayaviri 11.88 1.12 44.39
Merino35228 F 2020 Ayaviri 13.58 1.08 45.26
Merino35229 M 2020 Ayaviri 14.81 3.12 45.2
Merino35230 F 2020 Ayaviri 14.39 4.08 45.91
Merino35231 M 2020 Ayaviri 14.57 3.01 43.79
Merino35232 F 2020 Ayaviri 12.34 0.87 43.66
Merino35233 M 2020 Ayaviri 11.76 0 45.97
Merino35234 F 2020 Ayaviri 0 1.69 0
Merino35235 M 2020 Ayaviri 11.04 4.36 46.32
Merino35236 F 2020 Ayaviri 11.87 0 44.94
Merino35237 M 2020 Ayaviri 11.26 1.47 0
Merino35238 F 2020 Ayaviri 14.13 0.77 43.08
Merino35239 M 2020 Ayaviri 11.51 2.76 0
Merino35240 F 2020 Ayaviri 12.93 0 43.91
Merino35241 M 2020 Ayaviri 11.99 3.01 43.95
Merino35242 F 2020 Ayaviri 13.56 5.48 0
Merino35243 M 2020 Ayaviri 12.76 0 46.23
Merino35244 F 2020 Ayaviri 12.2 1.12 44.23
Merino35245 M 2020 Ayaviri 12.51 0.68 45.75
Merino35246 F 2020 Ayaviri 13.25 2.59 45.12
Merino35247 M 2020 Ayaviri 12.4 0 46.41
Merino35248 F 2020 Ayaviri 13.71 0.9 44.36
Merino35249 M 2020 Ayaviri 12.54 3.11 0
Merino35250 F 2020 Ayaviri 12.25 0 44.28
Merino35251 M 2020 Ayaviri 10.64 0 46.17
Merino35252 F 2020 Ayaviri 12.22 0 43.23
Merino35253 M 2020 Ayaviri 13.85 3.12 44.94
Merino35254 F 2020 Ayaviri 11.92 2.78 0
Merino35255 M 2020 Ayaviri 0 2.41 43.82
Merino35256 F 2020 Ayaviri 11.91 0 44.14
Merino35257 M 2020 Ayaviri 12.1 6.26 44.87
Merino35258 F 2020 Ayaviri 11.58 0.68 43.01
Merino35259 M 2020 Ayaviri 13.22 0 43.14
Merino35260 F 2020 Ayaviri 11.98 4.76 45.99
Merino35261 M 2020 Ayaviri 0 0 43.67
Merino35262 F 2020 Ayaviri 9.96 0 43.95
Merino35263 M 2020 Ayaviri 0 3.98 45.04
Merino35264 F 2020 Ayaviri 12.25 0 0
Merino35265 M 2020 Ayaviri 11.24 1.95 43.69
Merino35266 F 2020 Ayaviri 13.6 0 44.38
Merino35267 M 2020 Ayaviri 12.8 1.73 44.21
Merino35268 F 2020 Ayaviri 11.36 3.25 0
Merino35269 M 2020 Ayaviri 13.81 3.73 43.8
Merino35270 F 2020 Ayaviri 13.02 0 0
Merino35271 M 2020 Ayaviri 13.8 3.2 42.98
Merino35272 F 2020 Ayaviri 12.75 0 46.08
Merino35273 M 2020 Ayaviri 11.94 4.57 44.52
Merino35274 F 2020 Ayaviri 11.74 2.1 0
Merino35275 M 2020 Ayaviri 12.95 1.66 45.25
Merino35276 F 2020 Ayaviri 13.63 0 0
Merino35277 M 2020 Ayaviri 12.91 2.98 0
Merino35278 F 2020 Ayaviri 12.26 1.76 0
Merino35279 M 2020 Ayaviri 12.75 1.4 44.82
Merino35280 F 2020 Ayaviri 10.87 0.46 43.88
Merino35281 M 2020 Ayaviri 10.86 0.73 0
Merino35282 F 2020 Ayaviri 0 0.83 44.8
Merino35283 M 2020 Ayaviri 14.37 1.56 42.54
Merino35284 F 2020 Ayaviri 14.41 1.97 44.75
Merino35285 M 2020 Ayaviri 12.27 3.26 45.12
Merino35286 F 2020 Ayaviri 13.06 0 45.06
Merino35287 M 2020 Ayaviri 12.19 1.36 44.8
Merino35288 F 2020 Ayaviri 11.83 3.87 0
Merino35289 M 2020 Ayaviri 13.58 2.38 0
Merino35290 F 2020 Ayaviri 12.33 2.66 44.14
Merino35291 M 2020 Ayaviri 0 4.62 46.5
Merino35292 F 2020 Ayaviri 0 3.11 0
Merino35293 M 2020 Ayaviri 11.67 1.52 43.72
Merino35294 F 2020 Ayaviri 13.27 4.14 0
Merino35295 M 2020 Ayaviri 12.62 0 47
Merino35296 F 2020 Ayaviri 11.9 2.82 0
Merino35297 M 2020 Ayaviri 11.72 0 47.16
Merino35298 F 2020 Ayaviri 12.41 3.24 0
Merino35299 M 2020 Ayaviri 12.81 0 44.39
Merino35300 F 2020 Ayaviri 12.98 0 42.56
Merino35301 M 2020 Ayaviri 14.29 4.02 41.39
Merino35302 F 2020 Ayaviri 14.05 1.31 44.67
Merino35303 M 2020 Ayaviri 13.6 1.46 44.61
Merino35304 F 2020 Ayaviri 0 3.09 0
Merino35305 M 2020 Ayaviri 12.4 4.02 43.86
Merino35306 F 2020 Ayaviri 12.04 1.16 44.47
Merino35307 M 2020 Ayaviri 12.68 1.96 42.58
Merino35308 F 2020 Ayaviri 12.73 2.66 45
Merino35309 M 2020 Ayaviri 13.33 3.58 45.36
Merino35310 F 2020 Ayaviri 12.44 3.36 0
Merino35311 M 2020 Ayaviri 14.15 0 44.97
Merino35312 F 2020 Ayaviri 12.26 2.78 0
Merino35313 M 2020 Ayaviri 13.01 2.55 0
Merino35314 F 2020 Ayaviri 12.02 2.5 44.22
Merino35315 M 2020 Ayaviri 13.78 0 45.56
Merino35316 F 2020 Ayaviri 11.85 4.07 46.41
Merino35317 M 2020 Ayaviri 12.07 3.26 0
Merino35318 F 2020 Ayaviri 14.31 4.05 0
Merino35319 M 2020 Ayaviri 12.25 1.4 44.65
Merino35320 F 2020 Ayaviri 11.65 3.04 43.97
Merino35321 M 2020 Ayaviri 13.4 0 43.03
Merino35322 F 2020 Ayaviri 11.45 3.78 42.33
Merino35323 M 2020 Ayaviri 13.61 1.36 44.27
Merino35324 F 2020 Ayaviri 12.51 0.51 45.61
Merino35325 M 2020 Ayaviri 13.02 1.99 46.37
Merino35326 F 2020 Ayaviri 13.26 1.52 0
Merino35327 M 2020 Ayaviri 13.54 2.86 43.16
Merino35328 F 2020 Ayaviri 11.08 0.82 44.62
Merino35329 M 2020 Ayaviri 12.78 1.38 44.06
Merino35330 F 2020 Ayaviri 12.49 4.35 0
Merino35331 M 2020 Ayaviri 14.37 0.82 43.98
Merino35332 F 2020 Ayaviri 13.67 0.04 0
Merino35333 M 2020 Ayaviri 0 3.65 45.08
Merino35334 F 2020 Ayaviri 10.98 1.68 45.8
Merino35335 M 2020 Ayaviri 12.21 0.16 43.73
Merino35336 F 2020 Ayaviri 11.99 4.24 44.85
Merino35337 M 2020 Ayaviri 11.42 3.85 44.15
Merino35338 F 2020 Ayaviri 12.75 0 43.84
Merino35339 M 2020 Ayaviri 12.55 1.14 43.97
Merino35340 F 2020 Ayaviri 12.24 2.75 44.74
Merino35341 M 2020 Ayaviri 11.23 0 44.11
Merino35342 F 2020 Ayaviri 0 0 43.99
Merino35343 M 2020 Ayaviri 11.66 2.44 43.84
Merino35344 F 2020 Ayaviri 11.66 4.71 44.89
Merino35345 M 2020 Ayaviri 11.85 4.05 45.11
Merino35346 F 2020 Ayaviri 13.37 4.39 45.62
Merino35347 M 2020 Ayaviri 13.22 0 44.18
Merino35348 F 2020 Ayaviri 13.4 3.43 41.98
Merino35349 M 2020 Ayaviri 0 2.59 0
Merino35350 F 2020 Ayaviri 12.1 1.56 45.21
Merino35351 M 2020 Ayaviri 11.58 0.8 45.2
Merino35352 F 2020 Ayaviri 12.28 2.26 0
Merino35353 M 2020 Ayaviri 11.55 0.76 43.12
Merino35354 F 2020 Ayaviri 13.2 0 45.8
Merino35355 M 2020 Ayaviri 11.23 1.81 43.46
Merino35356 F 2020 Ayaviri 12.23 0.85 43.18
Merino35357 M 2020 Ayaviri 12.46 3.51 44.62
Merino35358 F 2020 Ayaviri 12.96 2.31 44.63
Merino35359 M 2020 Ayaviri 13.25 2.21 45.23
Merino35360 F 2020 Ayaviri 11.67 3.25 44.44
Merino35361 M 2020 Ayaviri 12.27 1.51 46.18
Merino35362 F 2020 Ayaviri 12.3 0.67 45.39
Merino35363 M 2020 Ayaviri 13.42 2.98 44.01
Merino35364 F 2020 Ayaviri 13.94 2.55 0
Merino35365 M 2020 Ayaviri 12.11 0 45.47
Merino35366 F 2020 Ayaviri 13.08 0 45.6
Merino35367 M 2020 Ayaviri 12.66 0 44.54
Merino35368 F 2020 Ayaviri 12.21 1.1 44.43
Merino35369 M 2020 Ayaviri 12 2.04 42.93
Merino35370 F 2020 Ayaviri 12.74 0.94 0
Merino35371 M 2020 Ayaviri 12.05 4.02 44.82
Merino35372 F 2020 Ayaviri 12.6 6.48 44.62
Merino35373 M 2020 Ayaviri 0 0 0
Merino35374 F 2020 Ayaviri 12.17 0.86 44.35
Merino35375 M 2020 Ayaviri 12.45 2.92 46.21
Merino35376 F 2020 Ayaviri 13.12 0 43.85
Merino35377 M 2020 Ayaviri 13.5 3.08 44.32
Merino35378 F 2020 Ayaviri 12.17 2.8 42.5
Merino35379 M 2020 Ayaviri 13.56 0 45.02
Merino35380 F 2020 Ayaviri 13.22 0 44.5
Merino35381 M 2020 Ayaviri 11.71 4.74 42.33
Merino35382 F 2020 Ayaviri 13 3.22 0
Merino35383 M 2020 Ayaviri 13.83 1.8 46.64
Merino35384 F 2020 Ayaviri 12.49 1.33 0
Merino35385 M 2020 Ayaviri 11.31 2.42 0
Merino35386 F 2020 Ayaviri 13.83 4.37 0
Merino35387 M 2020 Ayaviri 12.9 2.78 45.9
Merino35388 F 2020 Ayaviri 14.03 0 44.78
Merino35389 M 2020 Ayaviri 12.92 5.17 44.59
Merino35390 F 2020 Ayaviri 13.36 0 46.41
Merino35391 M 2020 Azangaro 12.78 5.53 0
Merino35392 F 2020 Azangaro 13.39 2.15 44.48
Merino35393 M 2020 Azangaro 13.05 0.44 44.89
Merino35394 F 2020 Azangaro 14.05 0 43.86
Merino35395 M 2020 Azangaro 14.67 6.18 44.79
Merino35396 F 2020 Azangaro 13.37 0 0
Merino35397 M 2020 Azangaro 12.99 2.79 43.29
Merino35398 F 2020 Azangaro 14.37 4.08 42.73
Merino35399 M 2020 Azangaro 11.74 1.24 45.01
Merino35400 F 2020 Azangaro 14.14 0.46 43.91
Merino35401 M 2020 Azangaro 14.03 1.75 46.2
Merino35402 F 2020 Azangaro 12.07 0.63 44.96
Merino35403 M 2020 Azangaro 14.32 3.01 44.81
Merino35404 F 2020 Azangaro 13.51 3.9 45.5
Merino35405 M 2020 Azangaro 12.77 2.46 44.93
Merino35406 F 2020 Azangaro 12.91 3.33 44.01
Merino35407 M 2020 Azangaro 10.92 1.65 45.93
Merino35408 F 2020 Azangaro 12.02 4.78 45.52
Merino35409 M 2020 Azangaro 12.48 4.31 45.14
Merino35410 F 2020 Azangaro 13.27 2.46 45.28
Merino35411 M 2020 Azangaro 14.1 2.87 43.34
Merino35412 F 2020 Azangaro 12.26 0.97 44.3
Merino35413 M 2020 Azangaro 13.4 4.83 45.35
Merino35414 F 2020 Azangaro 12.02 2.36 44.5
Merino35415 M 2020 Azangaro 12.25 2.19 47
Merino35416 F 2020 Azangaro 14.03 4 0
Merino35417 M 2020 Azangaro 13.69 1.43 0
Merino35418 F 2020 Azangaro 0 0.53 47.55
Merino35419 M 2020 Azangaro 12.19 1.68 45.3
Merino35420 F 2020 Azangaro 13.3 4.17 43.45
Merino35421 M 2020 Azangaro 13.94 1.73 0
Merino35422 F 2020 Azangaro 0 0.57 44.03
Merino35423 M 2020 Azangaro 12.13 3.08 45.95
Merino35424 F 2020 Azangaro 0 1.75 43.9
Merino35425 M 2020 Azangaro 13.18 1.39 0
Merino35426 F 2020 Azangaro 0 0 43.6
Merino35427 M 2020 Azangaro 13.43 0.98 45.34
Merino35428 F 2020 Azangaro 11.67 0 44.46
Merino35429 M 2020 Azangaro 13.52 0 0
Merino35430 F 2020 Azangaro 12.39 2.17 43.56
Merino35431 M 2020 Azangaro 11.89 2.31 43.75
Merino35432 F 2020 Azangaro 12.56 0.3 43.12
Merino35433 M 2020 Azangaro 13.44 0.19 45
Merino35434 F 2020 Azangaro 12.42 0.94 44.1
Merino35435 M 2020 Azangaro 13.24 0.6 44.44
Merino35436 F 2020 Azangaro 11.72 0 43.71
Merino35437 M 2020 Azangaro 14.37 3.26 0
Merino35438 F 2020 Azangaro 11.7 0 44.45
Merino35439 M 2020 Azangaro 0 3.04 43.54
Merino35440 F 2020 Azangaro 13.18 2.16 0
Merino35441 M 2020 Azangaro 12.02 5.25 44.14
Merino35442 F 2020 Azangaro 12.45 4.98 46.41
Merino35443 M 2020 Azangaro 11.83 1.96 44.55
Merino35444 F 2020 Azangaro 14.88 4.01 0
Merino35445 M 2020 Azangaro 11.81 2.38 42.28
Merino35446 F 2020 Azangaro 13.12 2.09 43.08
Merino35447 M 2020 Azangaro 14.62 1.93 43.3
Merino35448 F 2020 Azangaro 13.65 2.36 0
Merino35449 M 2020 Azangaro 12.95 3.23 41.69
Merino35450 F 2020 Azangaro 12.49 0 44.27
Merino35451 M 2020 Azangaro 12.9 1.95 45.87
Merino35452 F 2020 Azangaro 12.55 0 42.88
Merino35453 M 2020 Azangaro 12.75 2.29 45.63
Merino35454 F 2020 Azangaro 13.4 2.64 44.1
Merino35455 M 2020 Azangaro 14.41 2.33 0
Merino35456 F 2020 Azangaro 14.96 3.13 44.49
Merino35457 M 2020 Azangaro 13.22 4.49 45.24
Merino35458 F 2020 Azangaro 13.07 0 0
Merino35459 M 2020 Azangaro 0 0 0
Merino35460 F 2020 Azangaro 12.18 0.37 0
Merino35461 M 2020 Azangaro 14.63 1.43 44.53
Merino35462 F 2020 Azangaro 12.46 0 42.68
Merino35463 M 2020 Azangaro 13.64 0 44.29
Merino35464 F 2020 Azangaro 13.55 2.67 43.66
Merino35465 M 2020 Azangaro 0 3.65 47.76
Merino35466 F 2020 Azangaro 11.31 3.68 44.83
Merino35467 M 2020 Azangaro 15.1 0 44.95
Merino35468 F 2020 Azangaro 11.39 3.12 46.59
Merino35469 M 2020 Azangaro 12.58 0 0
Merino35470 F 2020 Azangaro 12.99 3.79 43.78
Merino35471 M 2020 Azangaro 13.92 1.76 43.11
Merino35472 F 2020 Azangaro 12.32 2.12 46.11
Merino35473 M 2020 Azangaro 0 1.28 43.22
Merino35474 F 2020 Azangaro 13.3 2.81 42.1
