IId FId MId
Merino17546 0 Merino15628
Merino17547 Merino15715 Merino15610
Merino17548 0 Merino15610
Merino17549 Merino15453 Merino15422
Merino17550 Merino15453 Merino15422
Merino17551 Merino15545 Merino15782
Merino17552 Merino15545 Merino15782
Merino17553 0 Merino15512
Merino17554 0 Merino15512
Merino17555 Merino15641 Merino15588
Merino17556 Merino15641 Merino15588
Merino17557 Merino15649 Merino15626
Merino17558 Merino15649 Merino15626
Merino17559 0 Merino15630
Merino17560 Merino15473 Merino15630
Merino17561 0 0
Merino17562 Merino15759 Merino15750
Merino17563 0 Merino15464
Merino17564 Merino15605 Merino15464
Merino17565 Merino15517 Merino15654
Merino17566 Merino15517 Merino15654
Merino17567 Merino15703 Merino15486
Merino17568 Merino15703 Merino15486
Merino17569 Merino15555 Merino15554
Merino17570 0 Merino15554
Merino17571 Merino15763 Merino15636
Merino17572 0 Merino15636
Merino17573 0 Merino15578
Merino17574 Merino15785 Merino15578
Merino17575 0 Merino15734
Merino17576 Merino15541 Merino15734
Merino17577 Merino15533 Merino15556
Merino17578 0 Merino15556
Merino17579 Merino15421 Merino15704
Merino17580 Merino15421 Merino15704
Merino17581 Merino15557 Merino15552
Merino17582 Merino15557 Merino15552
Merino17583 Merino15413 Merino15458
Merino17584 Merino15413 Merino15458
Merino17585 Merino15715 Merino15754
Merino17586 0 Merino15754
Merino17587 Merino15453 0
Merino17588 Merino15453 Merino15592
Merino17589 Merino15429 0
Merino17590 Merino15429 Merino15572
Merino17591 Merino16377 Merino16104
Merino17592 0 Merino16104
Merino17593 0 Merino16024
Merino17594 Merino16055 Merino16024
Merino17595 Merino16291 Merino15906
Merino17596 Merino16291 Merino15906
Merino17597 Merino16179 0
Merino17598 0 Merino16146
Merino17599 0 Merino16128
Merino17600 Merino16217 Merino16128
Merino17601 Merino16139 Merino16026
Merino17602 Merino16139 Merino16026
Merino17603 Merino16173 Merino15792
Merino17604 Merino16173 Merino15792
Merino17605 0 Merino15958
Merino17606 Merino15829 0
Merino17607 0 Merino16280
Merino17608 Merino15841 Merino16280
Merino17609 0 Merino16244
Merino17610 Merino16101 0
Merino17611 Merino16265 0
Merino17612 0 Merino16082
Merino17613 Merino16201 Merino15988
Merino17614 Merino16201 Merino15988
Merino17615 Merino16021 Merino15902
Merino17616 Merino16021 0
Merino17617 Merino15911 Merino16286
Merino17618 Merino15911 Merino16286
Merino17619 Merino16033 Merino15846
Merino17620 Merino16033 Merino15846
Merino17621 Merino16347 Merino16310
Merino17622 Merino16347 Merino16310
Merino17623 Merino16197 Merino16238
Merino17624 Merino16197 Merino16238
Merino17625 Merino16325 Merino15826
Merino17626 0 Merino15826
Merino17627 Merino16247 0
Merino17628 Merino16247 Merino15838
Merino17629 Merino16141 Merino15968
Merino17630 Merino16141 Merino15968
Merino17631 Merino15857 Merino16172
Merino17632 Merino15857 Merino16172
Merino17633 Merino16095 Merino16388
Merino17634 Merino16095 Merino16388
Merino17635 Merino16305 Merino16064
Merino17636 Merino16305 Merino16064
Merino17637 Merino15999 Merino16222
Merino17638 Merino15999 Merino16222
Merino17639 Merino16213 Merino15926
Merino17640 Merino16213 Merino15926
Merino17641 0 Merino16158
Merino17642 0 Merino16158
Merino17643 Merino16045 Merino16112
Merino17644 Merino16045 Merino16112
Merino17645 Merino16215 Merino15916
Merino17646 Merino16215 Merino15916
Merino17647 Merino15791 Merino15802
Merino17648 Merino15791 Merino15802
Merino17649 Merino15871 Merino16162
Merino17650 Merino15871 Merino16162
Merino17651 Merino16055 0
Merino17652 Merino16055 Merino15866
Merino17653 Merino16291 Merino15976
Merino17654 Merino16291 Merino15976
Merino17655 Merino16179 Merino16302
Merino17656 Merino16179 Merino16302
Merino17657 Merino16217 Merino16352
Merino17658 Merino16217 Merino16352
Merino17659 Merino16139 Merino16192
Merino17660 Merino16139 Merino16192
Merino17661 Merino16173 Merino16342
Merino17662 Merino16173 Merino16342
Merino17663 Merino15829 Merino15834
Merino17664 Merino15829 Merino15834
Merino17665 Merino15841 Merino16248
Merino17666 Merino15841 Merino16248
Merino17667 Merino16101 Merino16328
Merino17668 0 Merino16328
Merino17669 0 Merino15896
Merino17670 Merino16265 Merino15896
Merino17671 Merino16201 Merino16030
Merino17672 Merino16201 Merino16030
Merino17673 0 Merino15986
Merino17674 Merino16021 Merino15986
Merino17675 Merino15911 Merino16230
Merino17676 Merino15911 Merino16230
Merino17677 Merino16033 Merino16028
Merino17678 0 Merino16028
Merino17679 Merino16347 Merino16144
Merino17680 Merino16347 Merino16144
Merino17681 Merino16197 Merino16356
Merino17682 Merino16197 Merino16356
Merino17683 0 Merino16142
Merino17684 Merino16325 Merino16142
Merino17685 Merino16247 Merino16002
Merino17686 Merino16247 Merino16002
Merino17687 0 Merino16256
Merino17688 0 Merino16256
Merino17689 Merino15857 Merino16350
Merino17690 Merino15857 Merino16350
Merino17691 Merino16095 Merino16012
Merino17692 Merino16095 Merino16012
Merino17693 Merino16305 Merino16178
Merino17694 Merino16305 Merino16178
Merino17695 Merino15999 Merino15918
Merino17696 Merino15999 Merino15918
Merino17697 Merino16213 Merino16140
Merino17698 Merino16213 0
Merino17699 Merino16371 Merino16252
Merino17700 0 Merino16252
Merino17701 0 Merino15818
Merino17702 Merino16045 0
Merino17703 Merino16215 Merino16066
Merino17704 0 Merino16066
Merino17705 Merino15791 Merino16294
Merino17706 0 Merino16294
Merino17707 Merino15871 Merino16094
Merino17708 Merino15871 Merino16094
Merino17709 Merino16377 Merino15920
Merino17710 Merino16377 Merino15920
Merino17711 Merino16291 Merino16300
Merino17712 0 Merino16300
Merino17713 Merino16179 Merino16368
Merino17714 Merino16179 Merino16368
Merino17715 Merino16217 Merino16018
Merino17716 Merino16217 Merino16018
Merino17717 Merino16139 Merino16246
Merino17718 Merino16139 Merino16246
Merino17719 0 0
Merino17720 Merino16173 Merino16084
Merino17721 Merino15829 Merino16224
Merino17722 Merino15829 Merino16224
Merino17723 0 Merino16360
Merino17724 Merino15841 Merino16360
Merino17725 Merino16101 Merino16208
Merino17726 Merino16101 Merino16208
Merino17727 Merino16265 Merino16044
Merino17728 Merino16265 Merino16044
Merino17729 Merino16201 Merino15830
Merino17730 0 Merino15830
Merino17731 Merino16021 Merino16390
Merino17732 Merino16021 Merino16390
Merino17733 Merino15911 Merino16078
Merino17734 Merino15911 Merino16078
Merino17735 Merino16033 Merino16154
Merino17736 Merino16033 Merino16154
Merino17737 Merino16347 Merino16164
Merino17738 Merino16347 Merino16164
Merino17739 Merino16197 Merino16160
Merino17740 0 Merino16160
Merino17741 Merino16325 Merino15930
Merino17742 Merino16325 Merino15930
Merino17743 Merino16247 Merino15814
Merino17744 Merino16247 Merino15814
Merino17745 0 Merino15944
Merino17746 Merino16141 Merino15944
Merino17747 Merino15857 Merino16054
Merino17748 Merino15857 Merino16054
Merino17749 Merino16095 Merino15912
Merino17750 Merino16095 Merino15912
Merino17751 Merino16305 Merino15852
Merino17752 Merino16305 Merino15852
Merino17753 Merino15999 Merino15898
Merino17754 Merino15999 Merino15898
Merino17755 Merino16213 Merino16046
Merino17756 Merino16213 Merino16046
Merino17757 0 Merino15798
Merino17758 Merino16371 Merino15798
Merino17759 0 Merino16038
Merino17760 0 Merino16038
Merino17761 Merino16215 Merino16264
Merino17762 Merino16215 Merino16264
Merino17763 Merino15791 Merino15808
Merino17764 Merino15791 Merino15808
Merino17765 Merino15871 Merino16270
Merino17766 0 Merino16270
Merino17767 Merino16377 Merino16364
Merino17768 0 Merino16364
Merino17769 Merino16055 Merino15806
Merino17770 Merino16055 Merino15806
Merino17771 Merino16179 Merino16060
Merino17772 Merino16179 Merino16060
Merino17773 Merino16217 Merino16050
Merino17774 Merino16217 Merino16050
Merino17775 0 Merino16072
Merino17776 Merino16139 Merino16072
Merino17777 Merino16173 Merino16122
Merino17778 0 0
Merino17779 Merino15829 Merino16374
Merino17780 Merino15829 Merino16374
Merino17781 0 Merino16174
Merino17782 Merino15841 Merino16174
Merino17783 Merino16101 0
Merino17784 Merino16101 Merino16200
Merino17785 0 Merino16290
Merino17786 Merino16265 Merino16290
Merino17787 Merino16201 Merino15950
Merino17788 Merino16201 Merino15950
Merino17789 Merino16021 Merino15844
Merino17790 Merino16021 Merino15844
Merino17791 Merino15911 Merino16234
Merino17792 Merino15911 Merino16234
Merino17793 Merino16033 Merino15908
Merino17794 Merino16033 Merino15908
Merino17795 Merino16347 Merino15946
Merino17796 Merino16347 Merino15946
Merino17797 Merino16197 Merino15974
Merino17798 0 Merino15974
Merino17799 Merino16325 Merino15984
Merino17800 Merino16325 Merino15984
Merino17801 Merino16247 Merino16032
Merino17802 0 Merino16032
Merino17803 Merino16141 Merino16006
Merino17804 Merino16141 Merino16006
Merino17805 Merino15857 Merino16332
Merino17806 0 Merino16332
Merino17807 Merino16095 Merino15966
Merino17808 0 Merino15966
Merino17809 Merino16305 Merino16016
Merino17810 Merino16305 Merino16016
Merino17811 Merino15999 Merino16272
Merino17812 Merino15999 Merino16272
Merino17813 Merino16213 Merino16204
Merino17814 Merino16213 Merino16204
Merino17815 0 Merino15822
Merino17816 Merino16371 Merino15822
Merino17817 Merino16045 Merino15952
Merino17818 Merino16045 Merino15952
Merino17819 Merino16215 Merino15860
Merino17820 Merino16215 Merino15860
Merino17821 Merino15791 Merino16212
Merino17822 Merino15791 Merino16212
Merino17823 0 Merino15922
Merino17824 Merino15871 Merino15922
Merino17825 Merino16377 Merino16240
Merino17826 Merino16377 Merino16240
Merino17827 Merino16055 Merino15888
Merino17828 Merino16055 Merino15888
Merino17829 Merino16291 Merino16022
Merino17830 Merino16291 Merino16022
Merino17831 Merino16217 Merino16196
Merino17832 Merino16217 Merino16196
Merino17833 Merino16139 Merino15948
Merino17834 Merino16139 Merino15948
Merino17835 Merino16173 Merino16092
Merino17836 Merino16173 Merino16092
Merino17837 0 Merino16190
Merino17838 Merino15829 Merino16190
Merino17839 Merino15841 Merino16074
Merino17840 Merino15841 0
Merino17841 Merino16101 Merino16176
Merino17842 Merino16101 Merino16176
Merino17843 Merino16265 0
Merino17844 Merino16265 Merino15892
Merino17845 Merino16201 Merino16120
Merino17846 Merino16201 Merino16120
Merino17847 Merino16021 Merino16298
Merino17848 0 Merino16298
Merino17849 Merino15911 0
Merino17850 Merino15911 Merino15854
Merino17851 Merino16033 Merino16180
Merino17852 Merino16033 Merino16180
Merino17853 0 Merino15992
Merino17854 Merino16347 Merino15992
Merino17855 Merino16197 Merino16052
Merino17856 Merino16197 Merino16052
Merino17857 Merino16325 Merino15810
Merino17858 Merino16325 Merino15810
Merino17859 Merino16247 Merino15872
Merino17860 Merino16247 Merino15872
Merino17861 Merino16141 Merino16096
Merino17862 Merino16141 Merino16096
Merino17863 Merino15857 0
Merino17864 Merino15857 Merino15924
Merino17865 Merino16095 Merino16020
Merino17866 Merino16095 Merino16020
Merino17867 Merino16305 Merino16102
Merino17868 Merino16305 Merino16102
Merino17869 Merino15999 0
Merino17870 Merino15999 Merino16040
Merino17871 Merino16213 0
Merino17872 Merino16213 Merino16198
Merino17873 Merino16371 Merino16008
Merino17874 0 Merino16008
Merino17875 Merino16045 Merino16108
Merino17876 Merino16045 Merino16108
Merino17877 Merino16215 Merino16254
Merino17878 0 Merino16254
Merino17879 Merino15791 Merino15980
Merino17880 Merino15791 Merino15980
Merino17881 0 Merino16370
Merino17882 Merino15871 Merino16370
Merino17883 Merino16377 Merino16216
Merino17884 0 0
Merino17885 Merino16055 Merino16188
Merino17886 Merino16055 Merino16188
Merino17887 Merino16291 Merino16118
Merino17888 Merino16291 Merino16118
Merino17889 Merino16179 Merino16226
Merino17890 Merino16179 Merino16226
Merino17891 Merino16139 Merino16336
Merino17892 0 0
Merino17893 Merino16173 0
Merino17894 0 0
Merino17895 Merino15829 Merino16318
Merino17896 Merino15829 Merino16318
Merino17897 0 Merino15828
Merino17898 Merino15841 Merino15828
Merino17899 Merino16101 Merino15864
Merino17900 Merino16101 Merino15864
Merino17901 0 Merino15880
Merino17902 Merino16265 Merino15880
Merino17903 Merino16201 Merino16150
Merino17904 Merino16201 0
Merino17905 0 Merino15824
Merino17906 Merino16021 Merino15824
Merino17907 Merino15911 Merino16274
Merino17908 Merino15911 Merino16274
Merino17909 0 0
Merino17910 0 Merino16236
Merino17911 Merino16347 Merino16346
Merino17912 Merino16347 0
Merino17913 Merino16197 Merino15998
Merino17914 Merino16197 Merino15998
Merino17915 0 Merino16258
Merino17916 Merino16325 Merino16258
Merino17917 0 Merino16366
Merino17918 Merino16247 Merino16366
Merino17919 Merino16141 Merino16282
Merino17920 0 Merino16282
Merino17921 Merino15857 Merino15840
Merino17922 Merino15857 Merino15840
Merino17923 Merino16095 Merino16296
Merino17924 Merino16095 Merino16296
Merino17925 Merino16305 Merino16386
Merino17926 Merino16305 Merino16386
Merino17927 Merino15999 Merino16266
Merino17928 Merino15999 Merino16266
Merino17929 Merino16213 Merino16376
Merino17930 Merino16213 Merino16376
Merino17931 Merino16371 Merino16088
Merino17932 Merino16371 Merino16088
Merino17933 Merino16045 Merino16136
Merino17934 0 Merino16136
Merino17935 Merino16215 Merino15886
Merino17936 Merino16215 Merino15886
Merino17937 Merino15791 Merino15890
Merino17938 Merino15791 Merino15890
Merino17939 Merino15871 Merino16034
Merino17940 Merino15871 Merino16034
Merino17941 Merino16377 Merino16098
Merino17942 Merino16377 Merino16098
Merino17943 Merino16055 Merino15932
Merino17944 Merino16055 Merino15932
Merino17945 Merino16291 Merino16058
Merino17946 Merino16291 Merino16058
Merino17947 Merino16179 Merino16242
Merino17948 Merino16179 Merino16242
Merino17949 0 Merino16268
Merino17950 Merino16217 Merino16268
Merino17951 Merino16173 Merino16042
Merino17952 0 Merino16042
Merino17953 Merino15829 Merino16070
Merino17954 Merino15829 Merino16070
Merino17955 Merino15841 Merino16330
Merino17956 Merino15841 Merino16330
Merino17957 0 Merino16372
Merino17958 Merino16101 Merino16372
Merino17959 Merino16265 Merino16114
Merino17960 Merino16265 Merino16114
Merino17961 0 Merino15910
Merino17962 Merino16201 Merino15910
Merino17963 Merino16021 Merino15942
Merino17964 Merino16021 Merino15942
Merino17965 Merino15911 Merino15894
Merino17966 0 Merino15894
Merino17967 Merino16033 0
Merino17968 Merino16033 Merino16324
Merino17969 Merino16347 Merino15878
Merino17970 Merino16347 Merino15878
Merino17971 Merino16197 Merino15876
Merino17972 Merino16197 Merino15876
Merino17973 Merino16325 0
Merino17974 Merino16325 Merino16284
Merino17975 Merino16247 Merino16292
Merino17976 Merino16247 Merino16292
Merino17977 Merino16141 Merino16304
Merino17978 Merino16141 Merino16304
Merino17979 Merino15857 Merino16214
Merino17980 0 Merino16214
Merino17981 Merino16095 Merino15972
Merino17982 Merino16095 Merino15972
Merino17983 Merino16305 Merino16152
Merino17984 Merino16305 Merino16152
Merino17985 Merino15999 Merino16090
Merino17986 Merino15999 Merino16090
Merino17987 Merino16213 Merino16278
Merino17988 Merino16213 Merino16278
Merino17989 Merino16371 Merino15936
Merino17990 Merino16371 Merino15936
Merino17991 Merino16045 Merino16000
Merino17992 Merino16045 Merino16000
Merino17993 Merino16215 Merino15812
Merino17994 Merino16215 Merino15812
Merino17995 Merino15791 0
Merino17996 Merino15791 Merino15904
Merino17997 Merino15871 Merino15836
Merino17998 Merino15871 Merino15836
Merino17999 Merino16377 Merino16068
Merino18000 Merino16377 Merino16068
Merino18001 Merino16055 Merino16202
Merino18002 Merino16055 Merino16202
Merino18003 Merino16291 Merino16232
Merino18004 Merino16291 Merino16232
Merino18005 Merino16179 Merino16348
Merino18006 Merino16179 Merino16348
Merino18007 Merino16217 Merino16334
Merino18008 Merino16217 Merino16334
Merino18009 Merino16139 Merino16106
Merino18010 0 Merino16106
Merino18011 Merino15829 Merino16132
